algorithm,join_ratio,metric,n,mean,median,standard_deviation,minimum,q1,q3,maximum,iqr,coefficient_of_variation_percent,cv_rank_within_metric
FedAvg,1.0,best_accuracy,5,0.7152000000000001,0.7150285714285715,0.0005910903104450357,0.7145142857142858,0.7149142857142857,0.7154857142857143,0.7160571428571428,0.0005714285714285561,0.08264685548728128,1.0
FedAvg,0.5,best_accuracy,5,0.71448,0.7145714285714285,0.0006241402249560126,0.7134857142857143,0.7144571428571429,0.7146857142857143,0.7152,0.00022857142857135582,0.08735587069701217,2.0
FedProx,1.0,best_accuracy,5,0.7156800000000001,0.7154857142857143,0.0008940620441420842,0.7148,0.7150285714285715,0.7160571428571428,0.7170285714285715,0.0010285714285713787,0.12492483290605914,3.0
SCAFFOLD,1.0,best_accuracy,5,0.7594857142857144,0.7598857142857143,0.0011682884743006105,0.7582285714285715,0.7582857142857143,0.7602285714285715,0.7608,0.001942857142857135,0.1538262606294536,4.0
SCAFFOLD,0.75,best_accuracy,5,0.7525714285714284,0.7532571428571428,0.0017042563762293553,0.7505714285714286,0.7510857142857142,0.7532571428571428,0.7546857142857143,0.002171428571428602,0.2264577569021543,5.0
FedAvg,0.75,best_accuracy,5,0.7155657142857142,0.7154285714285714,0.001956089393224593,0.7134285714285714,0.7141142857142857,0.7165142857142857,0.7183428571428572,0.0023999999999999577,0.2733626491841051,6.0
FedProx,0.75,best_accuracy,5,0.7149828571428573,0.7158857142857142,0.0026327296302739675,0.7119428571428571,0.7124571428571429,0.7168571428571429,0.7177714285714286,0.0043999999999999595,0.36822276282184124,7.0
FedProx,0.5,best_accuracy,5,0.7123542857142857,0.7118857142857142,0.0026979659760944727,0.7092571428571428,0.7108571428571429,0.7134285714285714,0.7163428571428572,0.002571428571428558,0.3787393478498121,8.0
FedProx,0.25,best_accuracy,5,0.7064,0.7054285714285714,0.0037777004127065423,0.7030857142857143,0.7045714285714286,0.7060571428571428,0.7128571428571429,0.0014857142857142014,0.5347820516288989,9.0
SCAFFOLD,0.5,best_accuracy,5,0.7440114285714285,0.7450857142857142,0.003982697270822924,0.7383428571428572,0.7421714285714286,0.7454857142857143,0.7489714285714286,0.003314285714285714,0.5353005502173636,10.0
SCAFFOLD,0.25,best_accuracy,5,0.7392114285714286,0.7377714285714285,0.004905873198191603,0.7328571428571429,0.7372571428571428,0.7429714285714286,0.7452,0.005714285714285783,0.6636630615509426,11.0
SCAFFOLD,0.1,best_accuracy,5,0.7339657142857143,0.7336571428571429,0.006343577822635821,0.7265142857142857,0.7293142857142857,0.7383428571428572,0.742,0.009028571428571497,0.8642880313298158,12.0
FedAvg,0.25,best_accuracy,5,0.7089142857142857,0.7118285714285715,0.006543792821429763,0.6992571428571429,0.7053714285714285,0.7126285714285714,0.7154857142857143,0.007257142857142851,0.9230725002016835,13.0
FedProx,0.1,best_accuracy,5,0.6987085714285713,0.6963428571428572,0.006817217099344289,0.692,0.6943428571428572,0.7018285714285715,0.7090285714285715,0.007485714285714318,0.9756882022222637,14.0
FedAvg,0.1,best_accuracy,5,0.6945600000000001,0.6968,0.00728827966039746,0.6848,0.6898857142857143,0.6978285714285715,0.7034857142857143,0.00794285714285714,1.049337661310392,15.0
SCAFFOLD,0.1,estimated_energy_kj,5,19.421579562500003,19.4290704375,0.18669072375181597,19.180014562500002,19.3263715625,19.4920770625,19.680364187500004,0.1657055000000014,0.961254068707605,1.0
SCAFFOLD,0.5,estimated_energy_kj,5,60.0466216375,59.75183668750001,1.5954360028356096,58.857836875000004,59.00734975,59.8215859375,62.7944989375,0.8142361874999935,2.6569954467500567,2.0
FedProx,0.75,estimated_energy_kj,5,94.10570324999999,95.1308800625,3.474019378309015,89.53143987499998,91.58627075,96.2626465,98.01727906250001,4.676375750000005,3.6916140662378134,3.0
SCAFFOLD,0.25,estimated_energy_kj,5,36.411298362500006,35.525456125,2.382311477776705,34.379852625,34.831928187500004,37.04938425,40.269870625,2.2174560624999984,6.542780908439803,4.0
FedAvg,1.0,estimated_energy_kj,5,104.8563232875,106.6020551875,6.865760826373768,96.3912796875,99.61542456250001,108.11064350000001,113.5622135,8.495218937499999,6.547779486363357,5.0
FedAvg,0.75,estimated_energy_kj,5,84.8833468375,83.69880106250001,5.873135971559547,78.0853805625,82.9154681875,85.55844181249999,94.15864256249999,2.642973624999996,6.919067391160991,6.0
FedProx,0.1,estimated_energy_kj,5,26.46674615,26.335701687500002,3.0924201676642222,22.8167145625,24.1756266875,28.719473250000004,30.2862145625,4.543846562500004,11.684172093305177,7.0
FedProx,0.5,estimated_energy_kj,5,83.32141672499999,81.18043781249999,12.554021268647704,70.84768249999999,72.9291003125,90.846982125,100.802880875,17.9178818125,15.066980089983229,8.0
FedProx,1.0,estimated_energy_kj,5,133.023089,129.3219743125,20.350608265945944,117.0704563125,119.50688774999999,131.50290043750002,167.7132261875,11.996012687500027,15.29855337064526,9.0
FedAvg,0.1,estimated_energy_kj,5,18.718293875,18.1770699375,2.8966979282923924,15.828620875,16.304601374999997,20.6369009375,22.644276249999997,4.332299562500001,15.475224118375436,10.0
SCAFFOLD,1.0,estimated_energy_kj,5,132.5698341625,108.4742231875,37.69337187200671,102.2509771875,104.7641055625,169.80110062500003,177.55876425,65.03699506250003,28.43284229035343,11.0
FedAvg,0.25,estimated_energy_kj,5,48.38334962500001,42.6511278125,15.129206897431695,32.752183875,37.7877813125,61.5855629375,67.1400921875,23.797781625,31.26944912804121,12.0
FedAvg,0.5,estimated_energy_kj,5,84.37984487499999,81.714527875,26.80278241851311,55.3511851875,61.4517553125,109.9150356875,113.46672031249999,48.463280375,31.764436706678783,13.0
FedProx,0.25,estimated_energy_kj,5,55.935710275000005,45.8000469375,20.740595345843207,43.5212664375,44.34230893750001,53.6872348125,92.32769425000001,9.344925874999994,37.07934563425584,14.0
SCAFFOLD,0.75,estimated_energy_kj,5,115.22123478750002,92.41552737500001,48.0068071777481,83.70956943750001,84.41699025,118.1980665625,197.3660203125,33.781076312500005,41.66489559523121,15.0
SCAFFOLD,0.1,execution_time_s,5,1373.81,1375.56,7.728793566915857,1362.05,1372.13,1376.02,1383.29,3.8899999999998727,0.5625809658479599,1.0
FedProx,0.75,execution_time_s,5,6207.518000000001,6192.09,241.16863865353636,5994.88,6031.97,6215.77,6602.88,183.80000000000018,3.8851057484414273,2.0
SCAFFOLD,0.5,execution_time_s,5,4035.8720000000003,3948.15,197.01197176821512,3926.84,3934.53,3983.71,4386.13,49.179999999999836,4.881521806643399,3.0
FedAvg,0.75,execution_time_s,5,5472.5160000000005,5373.79,286.40770639073247,5148.09,5335.11,5616.55,5889.04,281.4400000000005,5.233565445779098,4.0
FedAvg,1.0,execution_time_s,5,6764.004000000001,6762.51,412.947336569689,6307.99,6419.7,7034.23,7295.59,614.5299999999997,6.105072329491363,5.0
SCAFFOLD,0.25,execution_time_s,5,2469.662,2384.23,204.1216719753196,2322.23,2354.22,2465.43,2822.2,111.21000000000004,8.265166325404836,6.0
FedProx,0.5,execution_time_s,5,5350.5160000000005,5395.59,584.5176897066503,4719.81,4861.02,5614.89,6161.27,753.8699999999999,10.924510639845769,7.0
FedProx,0.1,execution_time_s,5,1815.8419999999999,1765.78,218.85724849773652,1573.02,1663.97,1974.36,2102.08,310.3899999999999,12.052659234544445,8.0
FedProx,1.0,execution_time_s,5,8586.083999999999,8218.02,1093.0193311556754,7760.34,7868.58,8641.72,10441.76,773.1399999999994,12.730126226993303,9.0
FedAvg,0.1,execution_time_s,5,1485.3899999999999,1546.82,240.78835945701363,1199.88,1265.83,1704.79,1709.63,438.96000000000004,16.210447051415024,10.0
SCAFFOLD,1.0,execution_time_s,5,8517.778,7318.8,1884.019652822125,6938.3,7185.7,10426.17,10719.92,3240.4700000000003,22.118675232227524,11.0
FedAvg,0.25,execution_time_s,5,3140.486,2840.18,759.415185870022,2240.81,2773.31,3775.01,4073.12,1001.7000000000003,24.181454267588585,12.0
FedAvg,0.5,execution_time_s,5,5261.932,5137.62,1484.2771249231055,3665.3,3962.91,6765.93,6777.9,2803.0200000000004,28.20783554259359,13.0
FedProx,0.25,execution_time_s,5,3525.45,2959.57,1149.4705550600243,2848.22,2886.19,3388.22,5545.05,502.02999999999975,32.60493142889629,14.0
SCAFFOLD,0.75,execution_time_s,5,7205.623999999999,5858.57,2589.0811759058465,5533.69,5550.8,7475.8,11609.26,1925.0,35.93139436509381,15.0
