algorithm,join_ratio_from,join_ratio_to,transition,accuracy_from,accuracy_to,delta_accuracy,delta_accuracy_percentage_points,time_from_s,time_to_s,delta_time_s,time_increase_percent,energy_from_kj,energy_to_kj,delta_energy_kj,energy_increase_percent,accuracy_pp_per_1000_additional_s,accuracy_pp_per_additional_kj,additional_s_per_0_01_accuracy,additional_kj_per_0_01_accuracy,nonpositive_accuracy_gain
FedAvg,0.1,0.25,0.10->0.25,0.69456,0.7089142857142857,0.0143542857142857,1.4354285714285764,1546.82,2840.18,1293.36,83.61412446179904,18.1770699375,42.6511278125,24.474057875,134.64248065915766,1.1098445687423273,0.0586510246384132,901.0270700636912,17.050000510051692,False
FedAvg,0.25,0.5,0.25->0.50,0.7089142857142857,0.71448,0.0055657142857142,0.5565714285714285,2840.18,5137.62,2297.44,80.8906477758452,42.6511278125,81.714527875,39.0634000625,91.5881995764048,0.242257220459045,0.0142479002770095,4127.843942505134,70.18578039976902,False
FedAvg,0.5,0.75,0.50->0.75,0.71448,0.7155657142857142,0.0010857142857142,0.1085714285714245,5137.62,5373.79,236.17000000000007,4.596875596093134,81.714527875,83.69880106250001,1.9842731875000084,2.428299152061898,0.4597172738765487,0.054715968171809,2175.2500000000814,18.276200411184966,False
FedAvg,0.75,1.0,0.75->1.00,0.7155657142857142,0.7152000000000001,-0.0003657142857141,-0.0365714285714191,5373.79,6762.51,1388.7200000000005,25.842468723191644,83.69880106250001,106.6020551875,22.90325412499999,27.3638974922682,-0.0263346308625346,-0.0015967787097773,,,True
FedProx,0.1,0.25,0.10->0.25,0.6987085714285715,0.7064,0.0076914285714285,0.7691428571428571,1765.78,2959.57,1193.7900000000002,67.60694990315895,26.3357016875,45.8000469375,19.46434525,73.90858797295144,0.6442865639206703,0.0395154754636741,1552.1043833580984,25.30654100111441,False
FedProx,0.25,0.5,0.25->0.50,0.7064,0.7123542857142857,0.0059542857142856,0.595428571428569,2959.57,5395.59,2436.02,82.30993015877306,45.8000469375,81.18043781249999,35.38039087499999,77.24968256753326,0.2444267992169887,0.0168293384189065,4091.2044145873488,59.42004225647816,False
FedProx,0.5,0.75,0.50->0.75,0.7123542857142857,0.7149828571428571,0.0026285714285714,0.2628571428571424,5395.59,6192.09,796.5,14.762055678804357,81.18043781249999,95.1308800625,13.950442250000007,17.18448757596125,0.330015245269482,0.0188422085942932,3030.163043478265,53.07233464673924,False
FedProx,0.75,1.0,0.75->1.00,0.7149828571428571,0.7156800000000001,0.0006971428571429,0.0697142857142951,6192.09,8218.02,2025.9300000000003,32.7180321991444,95.1308800625,129.3219743125,34.191094250000006,35.94111000291053,0.034411004187852,0.0020389603563008,29060.47131147148,490.4460240778025,False
SCAFFOLD,0.1,0.25,0.10->0.25,0.7339657142857143,0.7392114285714285,0.0052457142857141,0.5245714285714187,1375.56,2384.23,1008.67,73.32795370612696,19.4290704375,35.525456125,16.0963856875,82.8469161161329,0.5200624868107693,0.0325893923490405,1922.845860566485,30.68483110362258,False
SCAFFOLD,0.25,0.5,0.25->0.50,0.7392114285714285,0.7440114285714285,0.0048,0.4800000000000026,2384.23,3948.15,1563.92,65.59434282766344,35.525456125,59.75183668750001,24.22638056250001,68.19442508283915,0.3069210701314662,0.0198131123533572,3258.166666666649,50.471626171874746,False
SCAFFOLD,0.5,0.75,0.50->0.75,0.7440114285714285,0.7525714285714286,0.00856,0.8560000000000012,3948.15,5858.57,1910.42,48.38772589693907,59.75183668750001,92.415527375,32.6636906875,54.66558435405082,0.4480690110028169,0.0262064690787554,2231.799065420557,38.158517158294345,False
SCAFFOLD,0.75,1.0,0.75->1.00,0.7525714285714286,0.7594857142857143,0.0069142857142857,0.6914285714285762,5858.57,7318.8,1460.2300000000005,24.924682985779818,92.415527375,108.4742231875,16.05869581249999,17.37662086516875,0.4735066197986454,0.043056334057363,2111.9028925619696,23.225386505681644,False
